Date	$gvkey	$sector	$ticker	PRCCM - Price - Close - Monthly - USD	OPTVOL - Volatility - Assumption (%) - INDL - NA - USD	OPTPRCGR - Options Granted - Price - INDL - NA - USD	OPTOSEY - Options Outstanding - End of Year - INDL - NA - USD	OPTLIFE - Life of Options - Assumption (# yrs) - INDL - NA - USD	OPTPRCEY - Options Outstanding End of Year - Price - INDL - NA - USD	OPTEX - Options Exercisable (000) - INDL - NA - USD	OPTPRCWA - Options Exercisable - Weighted Avg Price - INDL - NA - USD	OPTRFR - Risk Free Rate - Assumption (%) - INDL - NA - USD
12/31/2022	4016	Consumer Discretionary	DG	246.25	26.5	195.34	2.348	4.9	133.62	0.943	95.1	0.8
12/31/2022	4058	Industrials	DOV	135.41	30.49	122.73	2.377	5.5	89.49	1.125	67.69	0.59
12/31/2022	4060	Materials	DD	68.63	28.34	72.99	6.036	6.0	67.97	4.765	68.92	0.9
12/31/2022	4066	Communication Services	OMC	81.57	23.0	72.47	4.689	8.0	74.3	0.689	84.94	1.4
12/31/2022	4145	Health Care	PKI	140.22	27.3	159.65	1.192	5.0	119.33	0.383	70.27	0.9
12/31/2022	4199	Industrials	ETN	156.95	28.0	131.59	3.2	6.5	85.34	2.1	73.31	0.75
12/31/2022	4213	Materials	ECL	145.56	23.0	223.85	6.217	6.0	160.91	4.605	141.21	1.2
12/31/2022	4423	Industrials	EFX	194.36	28.5	184.03	1.71	4.8	149.67	0.522	129.57	0.5
12/31/2022	4430	Energy	EQT	33.83	60.0	10.0	3.467	4.0	23.31	2.789	26.51	1.1
12/31/2022	4510	Materials	FMC	124.8	32.75	105.0	1.254	6.5	78.95	0.605	65.97	0.92
12/31/2022	4517	Utilities	NEE	83.6	17.54	83.33	10.013	7.0	44.87	7.236	35.35	1.04
12/31/2022	4598	Industrials	FDX	173.2	32.0	282.12	15.328	6.4	190.01	8.726	182.46	0.65
12/31/2022	4640	Financials	FITB	32.81	29.0	33.53	11.594	7.0	20.51	10.901	19.85	0.9
12/31/2022	4839	Consumer Discretionary	F	11.63	30.4		11.9	10.0		7.5		0.69
12/31/2022	4973	Financials	AJG	188.54	22.9	127.9	7.5	5.4	81.3	2.1	51.46	0.9
12/31/2022	5046	Industrials	GD	248.11	27.3	169.01	11.93	5.0	170.83	6.496	173.89	0.9
12/31/2022	5047	Industrials	GE	83.79	40.0	105.12	38.414	6.2	144.97	33.551	153.11	1.1
12/31/2022	5071	Consumer Staples	GIS	83.85	20.2	60.03	15.006	8.5	57.1	7.961	57.1	1.5
12/31/2022	5439	Energy	HAL	39.35	33.0	24.59	24.2	5.39	40.42	21.3	42.53	1.56
12/31/2022	5492	Industrials	LHX	208.21	31.71	181.91	3.529	5.05	150.68	2.01	116.25	0.75
12/31/2022	5518	Consumer Discretionary	HAS	61.01	38.0	90.31	2.9	4.0	92.15	2.1	92.05	0.5
12/31/2022	5568	Consumer Staples	KHC	40.71	32.1	37.05	11.778	6.5	45.43	7.37	45.04	1.03
12/31/2022	5597	Consumer Staples	HSY	231.57	21.8	147.98	1.333	6.3	102.78	1.152	101.31	1.0
12/31/2022	5606	Information Technology	HPQ	26.87	34.7	37.0	6.095	6.0	26.0	2.749	18.0	1.5
12/31/2022	5643	Consumer Discretionary	HLT	126.36	33.13	123.13	2.803	6.0	80.03	1.799	67.85	0.92
12/31/2022	5680	Consumer Discretionary	HD	315.86	26.5	295.92	3.641	6.0	150.3	2.291	116.78	1.0
12/31/2022	5709	Consumer Staples	HRL	45.55	20.4	43.19	16.13	7.5	36.85	10.816	34.56	1.6
12/31/2022	5786	Financials	HBAN	14.1	36.8	14.8	14.466	6.5	12.34	7.531	12.43	1.25
12/31/2022	5878	Industrials	ITW	220.3	24.0	200.98	3.1	9.15	144.93	1.9	123.58	0.71
12/31/2022	5959	Industrials	TT	168.09	27.9	150.34	4.411	4.8	83.39	2.748	64.86	0.45
12/31/2022	6266	Health Care	JNJ	176.65	18.59	164.62	117.361	7.0	125.36	62.742	104.42	0.83
12/31/2022	6268	Industrials	JCI	64.0	27.8	79.54	5.684	6.0	42.46	4.083	37.86	1.35
12/31/2022	6375	Consumer Staples	K	71.24	20.0	58.0	15.0	6.7	64.0	10.0	66.0	0.96
12/31/2022	6435	Consumer Staples	KMB	135.75	17.4	132.67	5.596	4.6	126.01	3.448	121.0	0.8
12/31/2022	6502	Consumer Staples	KR	44.58	28.52	35.45	21.1	7.2	28.15	14.6	4.19	1.21
12/31/2022	6742	Financials	LNC	30.72	45.0	55.03	3.178	5.8	59.21	2.039	59.92	0.8
12/31/2022	6829	Consumer Discretionary	LOW	199.24	30.2	191.31	2.011	6.49	106.43	1.072	93.24	1.25
12/31/2022	7017	Energy	MRO	27.07	44.0	10.47	4.274	6.14	22.13	3.541	24.26	1.5
12/31/2022	7065	Financials	MMC	165.48	23.45	117.53	7.217	6.0	90.17	3.989	75.19	0.79
12/31/2022	7085	Industrials	MAS	46.67	30.0	56.0	3.0	6.0	37.0	2.0	31.0	0.75
12/31/2022	7146	Consumer Staples	MKC	82.89	21.3	89.16	5.0	7.9	59.71	3.6	51.51	0.9
12/31/2022	7154	Consumer Discretionary	MCD	263.53	21.8	215.73	12.0	5.7	156.13	7.8	130.7	0.7
12/31/2022	7228	Health Care	MDT	77.72	23.04	129.03	28.263	6.0	92.0	18.804	82.62	0.9
12/31/2022	7241	Health Care	CVS	93.19	27.1	74.66	19.061	6.3	71.74	9.704	79.99	1.13
12/31/2022	7257	Health Care	MRK	110.95	20.9	66.95	18.572	5.9	65.27	12.136	60.41	1.0
12/31/2022	7366	Utilities	ETR	112.5	23.93	95.87	2.82	6.93	90.82	1.789	81.91	0.74
12/31/2022	7435	Industrials	MMM	119.92	22.6	175.04	34.56	6.9	163.52	26.956	161.25	0.8
12/31/2022	7585	Information Technology	MSI	257.71	27.83	162.25	3.955	6.16	91.4	3.188	73.66	0.98
12/31/2022	7637	Health Care	VTRS	11.13	46.7	17.37	5.576	6.5	37.19	4.97	39.21	1.0
12/31/2022	7875	Consumer Discretionary	NWL	13.08	44.2	24.0	4.8	6.0	21.0	1.3	18.0	0.8
12/31/2022	7906	Consumer Discretionary	NKE	117.01	24.9	164.91	68.0	5.8	88.66	40.3	68.15	0.9
12/31/2022	7921	Industrials	NDSN	237.72	30.6	266.69	1.187	5.75	141.82	0.813	121.76	2.01
12/31/2022	7923	Industrials	NSC	246.42	26.0	241.79	1.096	7.5	106.58	0.954	92.43	0.75
12/31/2022	8030	Materials	NUE	131.81	32.86	110.74	1.186	6.5	55.58	0.523	54.71	1.28
12/31/2022	8068	Energy	OXY	62.99	55.0	25.39	3.666	6.0	43.92			0.7
12/31/2022	8247	Materials	PPG	125.74	25.3	136.6	3.34	6.5	110.98	1.688	100.46	1.0
12/31/2022	8253	Industrials	PCAR	98.97	26.0	91.89	2.878	6.0	70.9	1.109	61.36	0.71
12/31/2022	8272	Utilities	SRE	154.54	26.57	123.8	0.537	5.36	123.45	0.152	118.1	0.41
12/31/2022	8358	Industrials	PH	291.0	35.7	296.0	4.099	5.6	172.27	2.887	146.49	0.8
12/31/2022	8402	Information Technology	PAYX	115.56	23.0	109.71	3.7	6.6	69.58	2.7	61.87	1.2
12/31/2022	8463	Industrials	PNR	44.98	29.6	53.25	2.2	6.5	42.86	1.6	40.9	0.37
12/31/2022	8479	Consumer Staples	PEP	180.66	14.0	134.25	10.142	7.0	110.54	5.407	93.49	1.1
12/31/2022	8530	Health Care	PFE	51.24	26.54	33.82	44.874	6.75	30.2	41.583	29.81	1.27
12/31/2022	8762	Consumer Staples	PG	151.56	19.0	141.67	126.715	9.1	99.59	86.992	84.89	1.5
12/31/2022	8902	Materials	RPM	97.45	24.1	86.93	2.3	6.0	63.16	1.49	55.88	0.9
12/31/2022	9203	Industrials	ROK	257.57	31.0	350.75	2.246	4.8	186.72	1.717	166.64	0.38
12/31/2022	9317	Financials	SEIC	58.3	28.67	60.48	19.084	5.6	54.35	8.638	48.73	1.37
12/31/2022	9465	Energy	SLB	53.46	26.0	38.75	42.347	7.0	68.95	32.264	76.21	1.7
12/31/2022	9667	Materials	SHW	237.33	26.8	292.15	8.983	5.05	147.83	6.714	116.32	1.11
12/31/2022	9771	Industrials	AOS	57.24	27.4	60.85	2.252	5.8	47.73	1.192	45.71	1.2
12/31/2022	9777	Consumer Staples	SJM	158.46	24.0	135.53	0.728	6.0	118.37	0.344	115.23	1.0
12/31/2022	9778	Industrials	SNA	228.49	21.94	189.91	2.829	5.05	152.55	1.902	143.82	0.57
12/31/2022	9783	Financials	KEY	17.42	33.5	20.98	4.588	6.6	16.23	3.224	14.81	0.8
12/31/2022	9846	Utilities	EIX	63.62	26.9	55.04	12.355	5.4	62.78	7.413	64.27	1.2
12/31/2022	10016	Industrials	SWK	75.12	34.0	193.97	5.574	5.3	151.46	3.234	134.97	1.3
12/31/2022	10096	Real Estate	PSA	280.19	24.1	226.58	3.04	5.0	216.04	1.464	202.97	0.8
12/31/2022	10115	Health Care	SYK	244.49	26.9	235.35	12.1	5.9	150.17	7.1	113.56	0.8
12/31/2022	10247	Consumer Staples	SYY	76.45	30.1	76.86	9.634	6.6	62.74	6.542	59.64	1.0
12/31/2022	10407	Health Care	TFX	249.63	30.03	403.99	1.108	5.01	214.13	0.909	181.31	0.67
12/31/2022	10453	Information Technology	TER	87.35	37.8	113.48	0.171	5.0	62.13	0.03	34.65	0.4
12/31/2022	10499	Information Technology	TXN	165.22	32.0	169.52	25.0	6.7	91.58	16.0	69.43	0.72
12/31/2022	10519	Industrials	TXT	70.8	33.6	51.64	8.289	4.7	46.18	5.143	45.54	0.7
12/31/2022	10530	Health Care	TMO	550.69	26.0	545.21	6.0	4.3	319.95	2.8	193.39	0.8
12/31/2022	10614	Financials	GL	120.55	21.8	98.28	7.198	5.11	85.11	3.66	75.55	0.6
12/31/2022	10789	Information Technology	TYL	322.41	26.1	451.94	1.62	5.0	206.06	1.178	173.51	1.0
12/31/2022	10793	Consumer Staples	TSN	62.25	30.0	81.51	6.03	4.4	67.95	3.536	63.12	1.1
12/31/2022	10867	Industrials	UNP	207.07	28.3	204.45	2.106	4.6	149.84	1.334	126.38	0.4
12/31/2022	10903	Health Care	UNH	530.18	29.5	329.0	25.0	4.8	241.0	12.0	179.0	0.95
12/31/2022	10920	Industrials	UPS	173.84	23.15	165.58	1.599	7.5	112.18	1.05	104.15	0.84
12/31/2022	10983	Industrials	RTX	100.92	30.0	73.05	34.91	6.5	78.61	20.305	76.11	0.62
12/31/2022	11032	Health Care	UHS	140.89	31.0	141.08	8.556	3.5	116.8	2.997	119.0	2.0
12/31/2022	11060	Consumer Discretionary	VFC	27.61	36.0	77.67	8.048	7.0	66.04	5.267	63.37	0.93
12/31/2022	11220	Real Estate	VNO	20.81	35.5	52.35	0.192	5.0	65.27	0.125	70.13	1.165
12/31/2022	11228	Materials	VMC	175.11	27.33	164.38	0.624	9.0	105.43	0.484	94.0	1.18
12/31/2022	11376	Health Care	WST	235.35	23.9	280.5	2.021	5.6	101.59	1.517	73.36	0.8
12/31/2022	11465	Consumer Discretionary	WHR	141.46	37.7	199.93	0.844	5.0	173.08	0.448	176.2	0.5
12/31/2022	11550	Utilities	WEC	93.76	21.0	91.06	3.112	8.7	69.84	1.737	57.88	0.5
12/31/2022	11672	Consumer Discretionary	TJX	79.6	23.8	70.48	40.233	5.0	47.11	29.159	40.93	0.84
12/31/2022	12441	Information Technology	IT	336.14	31.0	180.64	0.8	4.74	145.36	0.3	125.2	0.4
12/31/2022	12459	Consumer Discretionary	NVR	4612.58	27.63	4719.8	0.535	5.31	2424.62	0.335	1993.07	0.925
12/31/2022	12635	Information Technology	FISV	101.07	29.3	111.86	10.229	6.5	56.36	8.822	48.38	0.6
12/31/2022	13421	Information Technology	CDNS	160.64	31.7	159.25	3.419	4.8	62.69	2.425	39.16	1.02
12/31/2022	13619	Health Care	ABMD	381.02	44.0	289.74	0.595	4.33	178.54	0.45	151.14	0.86
12/31/2022	13700	Health Care	XRAY	31.84	31.5	58.85	3.2	5.08	52.44	2.2	52.05	0.79
12/31/2022	13721	Health Care	ZTS	146.55	27.94	160.73	2.133	5.0	80.19	1.177	42.78	0.53
12/31/2022	13824	Information Technology	FICO	598.58	33.2	451.7	0.209	4.43	247.56	0.159	214.74	2.02
12/31/2022	13988	Financials	SCHW	83.26	37.0	64.49	17.0	4.8	39.11	13.0	34.93	0.8
12/31/2022	14225	Industrials	FAST	47.32	29.17	48.0	5.173	5.0	30.23	1.694	25.11	0.4
12/31/2022	14282	Information Technology	APH	76.14	25.0	66.65	65.301	4.7	42.0	33.92	35.27	0.7
12/31/2022	14477	Industrials	WM	156.88	23.2	110.81	3.206	4.7	92.53	1.672	74.08	0.6
12/31/2022	14590	Materials	FCX	38.0	58.1	28.14	21.823	5.9	23.78	17.119	26.62	0.6
12/31/2022	14824	Financials	CINF	102.39	26.69	96.32	3.552	8.0	78.52	2.599	70.99	1.12
12/31/2022	14960	Health Care	LH	235.48	28.6	233.39	0.5	6.0	169.03	0.3	153.09	0.6
12/31/2022	15267	Industrials	IEX	228.33	23.78	198.29	1.009	5.7	147.6	0.444	108.6	0.83
12/31/2022	15414	Health Care	TECH	82.88	30.0	120.1475	13.268	4.3	51.205	7.796	36.9925	1.6
12/31/2022	16188	Information Technology	CGNX	47.11	39.0	88.62	7.61	6.0	49.38	3.442	39.87	1.3
12/31/2022	16478	Energy	EOG	129.52	42.24	81.68	9.969	5.2	84.37	6.197	95.33	0.5
12/31/2022	17120	Financials	SIVB	230.14	43.5	491.95	0.476	4.7	260.77	0.207	201.61	0.85
12/31/2022	17928	Health Care	IQV	204.89	29.0	184.96	4.327	5.1	116.45	0.533	48.42	0.84
12/31/2022	18675	Consumer Discretionary	BURL	202.76	34.5	315.21	1.098	6.13	181.17	0.505	139.2	0.79
12/31/2022	18689	Health Care	VEEV	161.38	38.0	277.06	12.091	6.25	77.89	7.204	32.35	1.15
12/31/2022	20228	Health Care	CTLT	45.01	37.0	113.0	1.056	3.7	63.74	0.437	43.8	0.7
12/31/2022	20748	Information Technology	ANET	121.35	43.5	7.0025	8.685	5.0	12.45	6.65	9.7	0.4
12/31/2022	20904	Health Care	HOLX	74.81	34.2	71.07	4.4	4.8	48.46	2.8	41.57	1.1
12/31/2022	21227	Communication Services	LBRDK	76.27	26.25	152.91	3.483	5.7	96.61	2.179	67.08	
12/31/2022	21847	Information Technology	HUBS	289.13	43.84	480.08	0.584	5.8	112.82	0.458	60.17	0.95
12/31/2022	22260	Health Care	HCA	239.96	36.0	174.98	6.448	6.17	113.15	3.772	89.7	0.68
12/31/2022	22638	Communication Services	ZI	30.11	39.15	21.0	0.19	5.75	21.0			0.5
12/31/2022	23071	Information Technology	GDDY	74.82	32.3	68.05	1.999	6.0	42.94	1.73	38.9	0.9
12/31/2022	23119	Information Technology	SEDG	283.27	60.74	311.35	0.47	5.48	45.07	0.374	29.58	0.43
12/31/2022	23225	Communication Services	CABO	711.86	27.44	1970.24	0.046	6.25	1075.34	0.021	792.5	0.96
12/31/2022	23238	Consumer Discretionary	ETSY	119.78	50.4	218.93	4.274	5.4	29.52	3.497	16.72	1.0
12/31/2022	23546	Information Technology	CDAY	64.15	35.8	84.07	10.293	7.3	40.43	3.381	41.26	1.3
12/31/2022	23809	Consumer Discretionary	AZO	2466.18	28.0	1652.86	1.139	5.6	941.28	0.74	746.6	1.1
12/31/2022	23812	Health Care	REGN	721.49	27.0	628.43	18.0	5.5	435.56	11.3	398.83	1.22
12/31/2022	24197	Health Care	IDXX	407.96	30.0	550.1	1.757	6.2	188.47	1.109	127.3	0.7
12/31/2022	24249	Health Care	TDOC	23.65	57.1	151.24	3.427	4.1	22.88	3.177	19.54	0.67
12/31/2022	24316	Consumer Staples	MNST	101.53	28.9	89.1	13.86	5.8	48.19	9.644	40.33	0.85
12/31/2022	24344	Health Care	VRTX	288.78	35.03	217.2	3.611	4.5	141.76	3.149	136.13	0.86
12/31/2022	24405	Information Technology	ZBRA	256.41	41.53	184.29	0.498	3.57	118.02	0.402	95.35	0.2
12/31/2022	24856	Health Care	GILD	85.85	29.0	64.77	16.8	5.0	70.6	11.2	72.43	0.8
12/31/2022	24925	Information Technology	ROP	432.09	25.14	405.2	3.223	5.61	287.15	1.48	219.68	0.94
12/31/2022	24975	Information Technology	SNPS	319.29	34.66	342.86	2.16	4.1	150.37	1.449	103.44	2.745
12/31/2022	25124	Materials	LIN	326.18	18.4	253.68	7.166	6.0	152.56	5.297	132.84	1.1
12/31/2022	25279	Health Care	BSX	46.27	29.0	38.0	21.448	5.9	29.0	13.248	23.0	0.93
12/31/2022	25313	Health Care	STE	184.69	24.27	215.1	1.561	5.9	138.37	0.855	104.64	1.1
12/31/2022	25434	Consumer Discretionary	SBUX	99.2	26.3	110.46	4.1	8.1	55.86	4.1	55.86	1.4
12/31/2022	26123	Health Care	NVCR	73.35	61.5	149.96	8.549	5.75	33.09	5.145	19.76	1.03
12/31/2022	26367	Information Technology	SQ	62.84	54.91	255.22	8.916	6.02	26.09	7.77	16.58	1.08
12/31/2022	26590	Industrials	FTV	64.25	27.2	69.07	10.4	6.75	54.81	4.8	42.78	1.05
12/31/2022	27364	Information Technology	TWLO	48.96	52.2	287.19	3.351	3.35	78.1	2.153	37.21	0.75
12/31/2022	27638	Materials	AA	45.47	41.12	16.29	0.91	6.0	29.61	0.586	34.2	1.83
12/31/2022	27875	Real Estate	ELS	64.6	26.1	68.74	0.074	5.6	52.52	0.057	48.08	1.0
12/31/2022	27885	Communication Services	TTD	44.83	64.3	74.85	18.984	6.0	15.14	13.008	8.69	1.04
12/31/2022	27914	Health Care	HUM	512.19	33.8	379.26	0.31	3.7	339.08	0.108	308.22	0.4
12/31/2022	27928	Information Technology	INTU	389.22	35.0	448.59	2.292		289.62	1.44	209.73	2.73
12/31/2022	28034	Financials	CB	220.6	26.0	164.89	10.762	5.8	133.94	7.279	124.03	1.0
12/31/2022	28180	Consumer Discretionary	ORLY	844.03	30.0	491.71	1.206	5.9	300.09	0.802	249.13	0.82
12/31/2022	28320	Information Technology	CDW	178.58	30.0	156.3	3.355	5.6	89.76	1.959	66.97	0.93
12/31/2022	28322	Real Estate	HR	19.27	48.2	25.16	0.349	1.43	25.38	0.349	25.38	0.13
12/31/2022	28349	Financials	ALL	135.6	23.0	105.45	9.854	7.5	88.84	6.654	79.96	1.7
12/31/2022	28733	Real Estate	EQR	59.0	21.3	67.58	4.388	5.0	60.65	3.711	4.76	0.5
12/31/2022	29127	Health Care	INCY	80.32	39.0	84.92	12.763	5.01	88.39	8.025	90.51	0.62
12/31/2022	29392	Materials	EMN	81.44	28.99	109.0	3.169	6.0	84.0	2.048	83.0	0.95
12/31/2022	29736	Consumer Discretionary	TSCO	224.97	30.05	145.87	1.168	4.3	95.85	0.599	77.15	0.65
12/31/2022	29751	Materials	ALB	216.86	36.19	157.21	0.36	6.0	98.19	0.158	85.29	1.44
12/31/2022	29875	Real Estate	AVB	161.52	27.1	180.32	0.299	5.0	178.71	0.01	130.77	0.81
12/31/2022	29901	Industrials	CPRT	60.89	28.95	64.955	14.204	5.95	32.97	9.416	25.445	1.76
12/31/2022	30098	Industrials	IR	52.25	39.0	45.78	6.746	6.3	21.76	4.351	15.89	1.1
12/31/2022	30293	Real Estate	ESS	211.92	27.0	329.71	0.464	6.0	284.82	0.274	270.11	1.22
12/31/2022	30662	Communication Services	SIRI	5.84	33.0	6.14	161.0	6.06	5.47	101.0	5.01	0.6
12/31/2022	30736	Information Technology	OKTA	68.33	46.0	93.95	7.984	6.3	39.59	6.468	13.29	1.03
12/31/2022	31846	Consumer Discretionary	DRI	138.33	39.6	148.2	1.81	6.3	89.97	1.02	74.04	0.9
12/31/2022	31887	Health Care	RMD	208.13	32.0	256.33	0.938	4.9	112.91	0.792	96.14	1.29
12/31/2022	32382	Communication Services	ROKU	40.7	38.5	356.55	6.174	5.9	51.87	4.548	14.73	0.78
12/31/2022	32767	Financials	EQH	28.7	26.0	23.18	2.04	6.0	21.69	0.843	21.58	1.19
12/31/2022	34410	Health Care	MRNA	179.62	46.0	209.41	27.41	6.1	27.08	17.33	13.23	0.84
12/31/2022	34443	Materials	DOW	50.39	33.4	57.67	16.28	6.25	50.56	13.106	49.96	0.68
12/31/2022	34636	Communication Services	FOXA	30.37	35.0	34.83	14.25	5.29	32.9	4.586	37.13	1.2
12/31/2022	34636	Communication Services	FOX	28.45	35.0	34.83	14.25	5.29	32.9	4.586	37.13	1.2
12/31/2022	34749	Financials	COIN	35.39	44.0	3.45	37.208	4.8	18.6	15.777	14.9	0.5
12/31/2022	35065	Health Care	AVTR	21.09	29.0	27.91	16.3	6.3	19.83	9.7	19.82	1.1
12/31/2022	35077	Industrials	UBER	24.73	40.3	5.13	24.41	5.1	11.84	17.545	8.1	0.9
12/31/2022	35168	Materials	CTVA	58.78	29.44	45.37	6.423	6.0	36.65	4.739	36.15	1.0
12/31/2022	35182	Information Technology	CRWD	105.29	36.6	3.19	3.938	4.725	8.48	2.767	6.99	0.8
12/31/2022	35447	Information Technology	DT	38.3	39.65	52.86	6.968	6.1	21.87	3.136	20.06	1.0
12/31/2022	35604	Information Technology	NET	45.21	59.6	137.17	13.603	6.0	12.47	12.545	2.55	1.3
12/31/2022	35620	Information Technology	DDOG	73.5	38.9	41.19	21.373	6.1	3.31	16.682	2.07	1.7
12/31/2022	35868	Information Technology	BILL	108.96	55.6	83.4	3.858	4.525	18.28	2.189	12.59	1.54
12/31/2022	36190	Industrials	OTIS	78.31	26.9	64.91	11.091	6.3	62.59	6.846	57.62	0.7
12/31/2022	36191	Industrials	CARR	41.25	32.85	38.92	32.441	6.6	22.02	14.613	18.96	1.05
12/31/2022	36898	Information Technology	U	28.59	34.55	107.1	29.226	6.25	13.28	20.057	6.15	1.1
12/31/2022	36910	Information Technology	PLTR	6.42	71.0	7.43	349.952	12.04	7.81	169.563	5.1	0.64
12/31/2022	37076	Information Technology	BSY	36.96	31.04	9.34	7.818	3.75	5.44	3.838	5.0	1.31
12/31/2022	37413	Information Technology	AFRM	9.67	54.0	25.69	19.311	5.56	15.22	11.792	7.61	2.24
12/31/2022	37453	Communication Services	RBLX	28.46	37.6	4.73	63.267	7.0	2.82	35.431	1.86	1.15
12/31/2022	37460	Consumer Discretionary	ABNB	85.5	44.55	191.08	24.122	8.0	19.69	20.909	13.28	1.3
12/31/2022	38212	Information Technology	APP	10.53	43.0	27.03	18.404	5.21	6.39	12.03	5.87	0.48
12/31/2022	39337	Consumer Discretionary	LCID	6.83	48.4	2.85	64.12	6.6	1.08	42.924	0.79	1.45
12/31/2022	39811	Consumer Discretionary	RIVN	18.43	49.5	22.06	65.0	5.6	12.06	22.0	3.95	1.1
12/31/2022	60900	Communication Services	DISH	14.04	42.05	39.56	26.703	5.55	34.95	7.741	37.04	0.73
